"plot","year","month","day","time","temp"
1111,2018,10,23,"21:00",5.86
1111,2018,10,23,"22:30",5.14
1111,2018,10,24,"00:00",4.62
1111,2018,10,24,"01:30",4
1111,2018,10,24,"03:00",3.58
1111,2018,10,24,"04:30",3.26
1111,2018,10,24,"06:00",2.94
1111,2018,10,24,"07:30",2.73
1111,2018,10,24,"09:00",2.52
1111,2018,10,24,"10:30",2.41
1111,2018,10,24,"12:00",2.41
1111,2018,10,24,"13:30",2.73
1111,2018,10,24,"15:00",3.68
1111,2018,10,24,"16:30",4.31
1111,2018,10,24,"18:00",4.73
1111,2018,10,24,"19:30",4.31
1111,2018,10,24,"21:00",3.68
1111,2018,10,24,"22:30",3.26
1111,2018,10,25,"00:00",3.05
1111,2018,10,25,"01:30",2.84
1111,2018,10,25,"03:00",2.62
1111,2018,10,25,"04:30",2.62
1111,2018,10,25,"06:00",2.62
1111,2018,10,25,"07:30",2.84
1111,2018,10,25,"09:00",2.94
1111,2018,10,25,"10:30",3.37
1111,2018,10,25,"12:00",4
1111,2018,10,25,"13:30",5.04
1111,2018,10,25,"15:00",5.86
1111,2018,10,25,"16:30",6.37
1111,2018,10,25,"18:00",6.37
1111,2018,10,25,"19:30",5.55
1111,2018,10,25,"21:00",4.62
1111,2018,10,25,"22:30",3.79
1111,2018,10,26,"00:00",3.26
1111,2018,10,26,"01:30",3.05
1111,2018,10,26,"03:00",2.84
1111,2018,10,26,"04:30",2.62
1111,2018,10,26,"06:00",2.41
1111,2018,10,26,"07:30",2.2
1111,2018,10,26,"09:00",2.09
1111,2018,10,26,"10:30",1.98
1111,2018,10,26,"12:00",2.2
1111,2018,10,26,"13:30",2.73
1111,2018,10,26,"15:00",3.68
1111,2018,10,26,"16:30",4.21
1111,2018,10,26,"18:00",4.52
1111,2018,10,26,"19:30",4.31
1111,2018,10,26,"21:00",3.79
1111,2018,10,26,"22:30",3.26
1111,2018,10,27,"00:00",2.84
1111,2018,10,27,"01:30",2.52
1111,2018,10,27,"03:00",2.3
1111,2018,10,27,"04:30",2.2
1111,2018,10,27,"06:00",2.09
1111,2018,10,27,"07:30",1.98
1111,2018,10,27,"09:00",1.98
1111,2018,10,27,"10:30",2.41
1111,2018,10,27,"12:00",3.26
1111,2018,10,27,"13:30",4.42
1111,2018,10,27,"15:00",5.55
1111,2018,10,27,"16:30",6.17
1111,2018,10,27,"18:00",6.47
1111,2018,10,27,"19:30",5.96
1111,2018,10,27,"21:00",5.14
1111,2018,10,27,"22:30",4.52
1111,2018,10,28,"00:00",3.89
1111,2018,10,28,"01:30",3.37
1111,2018,10,28,"03:00",2.94
1111,2018,10,28,"04:30",2.73
1111,2018,10,28,"06:00",2.41
1111,2018,10,28,"07:30",2.3
1111,2018,10,28,"09:00",2.09
1111,2018,10,28,"10:30",2.2
1111,2018,10,28,"12:00",2.73
1111,2018,10,28,"13:30",3.68
1111,2018,10,28,"15:00",4.52
1111,2018,10,28,"16:30",5.04
1111,2018,10,28,"18:00",5.35
